doc,sdg,score_a,score_b,score_c,score_a_norm,score_b_norm,score_c_norm,sc,sc_rank,rank_a,rank_b,rank_c,rc,rc_rank,fuzz,rc2,rc_rank2
1995wess_clean,11,0.010057686776001076,0.01559266976615093,0.006500000000000001,0.059359604446571415,0.03846369735998748,0.02011761064685856,0.01071678551405067,15,16,14,10,13.333333333333334,14,830,552.0005895496513,13
1995wess_clean,12,0.056878097332070936,0.08628914466683105,0.0032,0.3369475089278029,0.3164878082183293,0.009904054472299598,0.048789080666300666,7,8,5,12,8.333333333333334,8,-776,232.9998966954755,8
1995wess_clean,13,0.07595403385476136,0.005812051075913609,0.0,0.45004453611019574,0.0,0.0,0.027255361643558323,11,6,17,16,13.0,13,-20,580.9999986935572,14
1995wess_clean,14,0.028688943114435657,0.008239618122019312,0.0,0.16982022073367564,0.009546758455647644,0.0,0.012309520412151656,14,9,16,16,13.666666666666666,15,166,593.0000296617111,15
1995wess_clean,15,0.011247437104954683,0.010841756846877276,0.0032,0.06641337216769345,0.019780045282537722,0.009904054472299598,0.00842973131727732,16,15,15,12,14.0,16,536,594.0003269176822,16
1995wess_clean,16,0.028352239643881,0.06683408423425966,0.008100000000000001,0.16782397999779194,0.2399779697000734,0.02506963788300836,0.03442877462604688,9,10,6,9,8.333333333333334,8,-423,216.9999025734131,6
1995wess_clean,17,0.16871434578188088,0.2600938638381931,0.138,1.0,1.0,0.4271123491179202,0.18893606987335798,2,1,1,3,1.6666666666666667,1,698,11.0,2
1997wess_clean,1,0.08246258367676097,0.021421182958286846,0.08470000000000001,0.40215984440068175,0.0661038565175513,0.3031496062992126,0.06286125554501594,6,5,11,4,6.666666666666667,6,449,162.00001819622233,7
1997wess_clean,2,0.06291780414528551,0.07766848331432963,0.018000000000000002,0.30680742325135824,0.26617926771279127,0.06442376521116679,0.052862095819871724,7,8,4,8,6.666666666666667,6,649,144.00008638613744,6
1997wess_clean,3,0.06258144094928175,0.2839678725789705,0.2751,0.30516642008359,1.0,0.9846098783106656,0.20721643784275076,1,9,1,2,4.0,3,-336,85.99994020035797,3
1997wess_clean,4,0.0022791997869125737,0.016041177785492057,0.0127,0.010972019665698734,0.04696681811098189,0.04545454545454545,0.01034012585746821,13,16,12,11,13.0,13,346,521.0002457087446,13
1997wess_clean,5,0.016807005360224184,0.013013815577710823,0.0,0.08184830830180403,0.036198288159771747,0.0,0.009940273645978335,14,13,13,16,14.0,14,760,594.0003297718586,14
1997wess_clean,6,3.0219605850686968e-05,0.012094760805273634,0.0021,0.0,0.032929148834997674,0.00751610594130279,0.00474166013704144,16,17,14,14,15.0,16,808,681.0006620080137,16
1997wess_clean,7,0.0736235124262224,0.06911960292198648,0.0741,0.3590369816898019,0.23577032810271048,0.2652111667859699,0.07228103844940297,4,6,6,5,5.666666666666667,5,79,97.00000510086004,4
1997wess_clean,8,0.09352710119874098,0.11966093137132412,0.27940000000000004,0.45613991272894605,0.41554921540656214,1.0,0.16419601085668836,2,3,3,1,2.3333333333333335,2,-723,18.999992844184007,2
1997wess_clean,9,0.06681252391378495,0.027100418726157448,0.0148,0.32580845414180587,0.0863052781740371,0.052970651395848244,0.03623764754664747,10,7,10,9,8.666666666666666,8,688,230.0000657589847,8
1997wess_clean,10,0.12563563032619235,0.03259469525665478,0.0455,0.6127866524333022,0.10584878744650503,0.16284896206156046,0.06791010852761571,5,2,8,6,5.333333333333333,4,43,104.00000012494391,5
1997wess_clean,11,0.01437016834657179,0.027421388492426133,0.0095,0.06995979818462178,0.08744698911057894,0.034001431639226906,0.01709718561299931,12,14,9,12,11.666666666666666,12,655,421.00033891904656,12
1997wess_clean,12,0.04882008776115078,0.07221765300943844,0.0095,0.23802939545427243,0.24679029957204004,0.034001431639226906,0.043512580256863075,9,10,5,12,9.0,10,682,269.00015706386756,10
1997wess_clean,13,0.08642259127088908,0.00784345765232423,0.0392,0.42147939268526236,0.017806979040930527,0.1403006442376521,0.04448868297440444,8,4,15,7,8.666666666666666,8,-433,289.9999901319237,11
1997wess_clean,14,0.017302343892391405,0.002837372733815227,0.0,0.0842648987910768,0.0,0.0,0.00671323887540221,15,12,17,16,15.0,16,-194,688.9999304228177,17
1997wess_clean,15,0.004527146383968158,0.006352506587085964,0.0021,0.02193899682184634,0.01250356633380885,0.00751610594130279,0.004326550990351374,17,15,16,14,15.0,16,-635,676.9996126369482,15
1997wess_clean,16,0.03687629173796359,0.04166158833891709,0.0148,0.17975962235754897,0.13810033285782214,0.052970651395848244,0.03111262669229356,11,11,7,9,9.0,10,0,251.0,9
1997wess_clean,17,0.20500434921780888,0.16898309188980679,0.1185,1.0,0.5909914407988585,0.4241231209735146,0.16416248036920522,3,1,2,3,2.0,1,-793,13.999999997801337,1
1998wess_clean,1,0.02479834445756206,0.015017420258674577,0.046799999999999994,0.1121004748200987,0.03576371877558151,0.07381703470031545,0.02887192157207888,9,8,9,5,7.333333333333333,6,600,170.00007995739014,6
1998wess_clean,2,0.1424418572760547,0.11951156358533735,0.0638,0.6439200219817742,0.3465745016953927,0.10063091482649841,0.10858447362046401,3,4,3,3,3.3333333333333335,3,-744,33.99998349020413,3
1998wess_clean,3,6.5938404178545e-07,0.014308913500310706,0.0,0.0,0.0336563131999155,0.0,0.004769857628117497,16,17,11,15,14.333333333333334,16,-258,634.9997886751663,16
