doc_x,sdg_x,score_a_norm,fuzz_x,rc2_x,rc_rank2_x,index1,doc_y,sdg_y,score_b_norm,fuzz_y,rc2_y,rc_rank2_y,doc,sdg,score_c_norm,fuzz,rc2,rc_rank2,dispersion
policybrief23,3,0.0,357,491.0002923748052,15,2941,policybrief23,15,0.0,386,498.00011227012465,16,policybrief23,16,0.0,-239,409.9998543428404,12,
policybrief22,13,1.0,-369,65.99999995089192,5,2942,policybrief22,17,1.0,292,9.000000809595988,1,policybrief22,13,1.0,-369,65.99999995089192,5,
policybrief22,17,0.5943215690412598,292,9.000000809595988,1,2943,policybrief22,7,0.49747474747474746,142,45.00000315005481,2,policybrief22,17,0.5713551041398817,292,9.000000809595988,1,0.002560845409761591
policybrief22,9,0.23265004882574497,-270,133.99999726820272,6,2944,policybrief22,10,0.32323232323232315,-626,53.99995961474166,3,policybrief22,10,0.4286448958601183,-626,53.99995961474166,3,0.009621823161451035
policybrief22,7,0.19778052054463513,142,45.00000315005481,2,2945,policybrief22,12,0.2878787878787878,-293,65.99998820437112,4,policybrief22,7,0.1429673437901774,142,45.00000315005481,2,0.005353584791729721
policybrief22,12,0.06588317880279926,-293,65.99998820437112,4,2946,policybrief22,8,0.27272727272727265,-481,389.9997511810356,12,policybrief22,9,0.1429673437901774,-270,133.99999726820272,6,0.010927347806832953
policybrief22,10,0.0488423081378732,-626,53.99995961474166,3,2947,policybrief22,1,0.20202020202020207,36,305.0000082916288,9,policybrief22,12,0.1429673437901774,-293,65.99998820437112,4,0.005968371595984822
policybrief22,2,0.030882993377834685,975,339.0000932488373,10,2948,policybrief22,11,0.18181818181818177,559,299.00009954149317,8,policybrief22,15,0.0714836718950887,763,257.0001018163915,7,0.006100591714258936
policybrief22,15,0.02890199265108317,763,257.0001018163915,7,2949,policybrief22,13,0.1666666666666667,-369,65.99999995089192,5,policybrief22,16,0.0714836718950887,851,355.00051867596653,11,0.00497535121792427
policybrief22,11,0.0076268367165122876,559,299.00009954149317,8,2950,policybrief22,16,0.16666666666666666,851,355.00051867596653,11,policybrief22,1,0.0,36,305.0000082916288,9,0.008854935654442023
